origin_country,q6_b,destination_country,origin_code,origin_region,destination_code,destination_region
United States,No,Israel,USA,North America (WB),ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Russia,No,France,RUS,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Pakistan,No,Italy,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Cuba,No,Spain,CUB,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
China,No,Australia,CHN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Cambodia,No,France,KHM,East Asia and Pacific (WB),FRA,Europe and Central Asia (WB)
India,No,Denmark,IND,South Asia (WB),DNK,Europe and Central Asia (WB)
Sierra Leone,No,United Kingdom,SLE,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
Egypt,No,United Kingdom,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GBR,Europe and Central Asia (WB)
South Korea,No,Bulgaria,KOR,East Asia and Pacific (WB),BGR,Europe and Central Asia (WB)
Nigeria,No,South Africa,NGA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Chile,No,Taiwan,CHL,Latin America and Caribbean (WB),TWN,East Asia and Pacific (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
India,No,Italy,IND,South Asia (WB),ITA,Europe and Central Asia (WB)
Canada,No,United Kingdom,CAN,North America (WB),GBR,Europe and Central Asia (WB)
Pakistan,No,France,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",FRA,Europe and Central Asia (WB)
Australia,No,United States,AUS,East Asia and Pacific (WB),USA,North America (WB)
China,No,Canada,CHN,East Asia and Pacific (WB),CAN,North America (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
France,No,United States,FRA,Europe and Central Asia (WB),USA,North America (WB)
Ghana,No,United States,GHA,Sub-Saharan Africa (WB),USA,North America (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Colombia,No,Spain,COL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Italy,No,Czechia,ITA,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Italy,No,Finland,ITA,Europe and Central Asia (WB),FIN,Europe and Central Asia (WB)
United States,No,China,USA,North America (WB),CHN,East Asia and Pacific (WB)
India,No,Czechia,IND,South Asia (WB),CZE,Europe and Central Asia (WB)
Afghanistan,No,China,AFG,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Nigeria,No,Turkey,NGA,Sub-Saharan Africa (WB),TUR,Europe and Central Asia (WB)
Jamaica,No,United States,JAM,Latin America and Caribbean (WB),USA,North America (WB)
Pakistan,No,South Korea,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",KOR,East Asia and Pacific (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Spain,No,United States,ESP,Europe and Central Asia (WB),USA,North America (WB)
Serbia,No,Denmark,SRB,Europe and Central Asia (WB),DNK,Europe and Central Asia (WB)
Ukraine,No,Switzerland,UKR,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Mongolia,No,Australia,MNG,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Spain,No,United Kingdom,ESP,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Finland,No,Netherlands,FIN,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Nigeria,No,United Kingdom,NGA,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
Saudi Arabia,No,Egypt,SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)",EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
Ghana,No,Japan,GHA,Sub-Saharan Africa (WB),JPN,East Asia and Pacific (WB)
Malaysia,No,United Kingdom,MYS,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Austria,No,Sweden,AUT,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Mexico,No,United States,MEX,Latin America and Caribbean (WB),USA,North America (WB)
Iran,No,Italy,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
Philippines,No,United States,PHL,East Asia and Pacific (WB),USA,North America (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Italy,No,Sweden,ITA,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Italy,No,Ireland,ITA,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
Colombia,No,Spain,COL,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Bangladesh,No,New Zealand,BGD,South Asia (WB),NZL,East Asia and Pacific (WB)
United Kingdom,No,Spain,GBR,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Canada,No,United Kingdom,CAN,North America (WB),GBR,Europe and Central Asia (WB)
Netherlands,No,Germany,NLD,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
China,No,New Zealand,CHN,East Asia and Pacific (WB),NZL,East Asia and Pacific (WB)
France,No,Mexico,FRA,Europe and Central Asia (WB),MEX,Latin America and Caribbean (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Portugal,No,United Kingdom,PRT,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Germany,No,France,DEU,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
India,No,Canada,IND,South Asia (WB),CAN,North America (WB)
Thailand,No,United States,THA,East Asia and Pacific (WB),USA,North America (WB)
Canada,No,United States,CAN,North America (WB),USA,North America (WB)
Switzerland,No,Germany,CHE,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Colombia,No,United Kingdom,COL,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Luxembourg,No,United Kingdom,LUX,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Sudan,No,Spain,SDN,Sub-Saharan Africa (WB),ESP,Europe and Central Asia (WB)
Iraq,No,Iraq,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Iran,No,South Korea,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",KOR,East Asia and Pacific (WB)
Nepal,No,Norway,NPL,South Asia (WB),NOR,Europe and Central Asia (WB)
Bangladesh,No,United States,BGD,South Asia (WB),USA,North America (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
United States,No,United Kingdom,USA,North America (WB),GBR,Europe and Central Asia (WB)
Russia,No,France,RUS,Europe and Central Asia (WB),FRA,Europe and Central Asia (WB)
China,No,Australia,CHN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Mexico,No,Canada,MEX,Latin America and Caribbean (WB),CAN,North America (WB)
Germany,No,Austria,DEU,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Mexico,No,Australia,MEX,Latin America and Caribbean (WB),AUS,East Asia and Pacific (WB)
United States,No,Switzerland,USA,North America (WB),CHE,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Ethiopia,No,Nigeria,ETH,Sub-Saharan Africa (WB),NGA,Sub-Saharan Africa (WB)
Sudan,No,South Africa,SDN,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Vietnam,No,United States,VNM,East Asia and Pacific (WB),USA,North America (WB)
Pakistan,No,Italy,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
Mexico,No,Canada,MEX,Latin America and Caribbean (WB),CAN,North America (WB)
Tanzania,No,Brunei,TZA,Sub-Saharan Africa (WB),BRN,East Asia and Pacific (WB)
Israel,No,Israel,ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
India,No,France,IND,South Asia (WB),FRA,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Italy,No,Spain,ITA,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
India,No,Sweden,IND,South Asia (WB),SWE,Europe and Central Asia (WB)
Venezuela,No,Chile,VEN,Latin America and Caribbean (WB),CHL,Latin America and Caribbean (WB)
Malawi,No,United States,MWI,Sub-Saharan Africa (WB),USA,North America (WB)
Ethiopia,No,Thailand,ETH,Sub-Saharan Africa (WB),THA,East Asia and Pacific (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Indonesia,No,Japan,IDN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Iraq,No,Hungary,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",HUN,Europe and Central Asia (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
United States,No,Australia,USA,North America (WB),AUS,East Asia and Pacific (WB)
Switzerland,No,Germany,CHE,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Turkey,No,Denmark,TUR,Europe and Central Asia (WB),DNK,Europe and Central Asia (WB)
United States,No,Italy,USA,North America (WB),ITA,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
China,No,Italy,CHN,East Asia and Pacific (WB),ITA,Europe and Central Asia (WB)
China,No,Japan,CHN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Italy,No,Belgium,ITA,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Nepal,No,United States,NPL,South Asia (WB),USA,North America (WB)
Brazil,No,Germany,BRA,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,Poland,NGA,Sub-Saharan Africa (WB),POL,Europe and Central Asia (WB)
Burundi,No,China,BDI,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Italy,No,Finland,ITA,Europe and Central Asia (WB),FIN,Europe and Central Asia (WB)
Lithuania,No,United Kingdom,LTU,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Nigeria,No,China,NGA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
China,No,Singapore,CHN,East Asia and Pacific (WB),SGP,East Asia and Pacific (WB)
Pakistan,No,United States,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Italy,No,Sweden,ITA,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
France,No,Ireland,FRA,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
Uganda,No,United States,UGA,Sub-Saharan Africa (WB),USA,North America (WB)
Italy,No,Ireland,ITA,Europe and Central Asia (WB),IRL,Europe and Central Asia (WB)
Mexico,No,United Kingdom,MEX,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Colombia,No,Germany,COL,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
Spain,No,Netherlands,ESP,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Switzerland,No,Germany,CHE,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Denmark,No,Netherlands,DNK,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Pakistan,No,Turkey,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",TUR,Europe and Central Asia (WB)
Nepal,No,Norway,NPL,South Asia (WB),NOR,Europe and Central Asia (WB)
Nigeria,No,South Africa,NGA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Nigeria,No,Malaysia,NGA,Sub-Saharan Africa (WB),MYS,East Asia and Pacific (WB)
India,No,Czechia,IND,South Asia (WB),CZE,Europe and Central Asia (WB)
China,No,Australia,CHN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Iran,No,Netherlands,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",NLD,Europe and Central Asia (WB)
Uzbekistan,No,Belgium,UZB,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Italy,No,United Kingdom,ITA,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Guatemala,No,Brazil,GTM,Latin America and Caribbean (WB),BRA,Latin America and Caribbean (WB)
Philippines,No,United States,PHL,East Asia and Pacific (WB),USA,North America (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
Benin,No,Burkina Faso,BEN,Sub-Saharan Africa (WB),BFA,Sub-Saharan Africa (WB)
Poland,No,Italy,POL,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
China,No,Australia,CHN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Mexico,No,Canada,MEX,Latin America and Caribbean (WB),CAN,North America (WB)
Egypt,No,China,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Colombia,No,Canada,COL,Latin America and Caribbean (WB),CAN,North America (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Bulgaria,No,Austria,BGR,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Vietnam,No,Thailand,VNM,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
Serbia,No,Germany,SRB,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Brazil,No,Germany,BRA,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
India,No,Taiwan,IND,South Asia (WB),TWN,East Asia and Pacific (WB)
South Africa,No,Japan,ZAF,Sub-Saharan Africa (WB),JPN,East Asia and Pacific (WB)
India,No,Czechia,IND,South Asia (WB),CZE,Europe and Central Asia (WB)
Taiwan,No,China,TWN,East Asia and Pacific (WB),CHN,East Asia and Pacific (WB)
Sudan,No,China,SDN,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Germany,No,Czechia,DEU,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Vietnam,No,Japan,VNM,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Italy,No,Switzerland,ITA,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Pakistan,No,Spain,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ESP,Europe and Central Asia (WB)
Ghana,No,Australia,GHA,Sub-Saharan Africa (WB),AUS,East Asia and Pacific (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Malaysia,No,Germany,MYS,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Italy,No,Netherlands,ITA,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Italy,No,Norway,ITA,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
Lithuania,No,Germany,LTU,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
India,No,Poland,IND,South Asia (WB),POL,Europe and Central Asia (WB)
Turkey,No,Germany,TUR,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Nigeria,No,Australia,NGA,Sub-Saharan Africa (WB),AUS,East Asia and Pacific (WB)
United States,No,Germany,USA,North America (WB),DEU,Europe and Central Asia (WB)
Pakistan,No,China,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CHN,East Asia and Pacific (WB)
Brazil,No,Spain,BRA,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
South Korea,No,United States,KOR,East Asia and Pacific (WB),USA,North America (WB)
Nigeria,No,South Africa,NGA,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Belgium,No,Sweden,BEL,Europe and Central Asia (WB),SWE,Europe and Central Asia (WB)
Pakistan,No,Japan,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",JPN,East Asia and Pacific (WB)
India,No,Finland,IND,South Asia (WB),FIN,Europe and Central Asia (WB)
Netherlands,No,Norway,NLD,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
Nepal,No,Switzerland,NPL,South Asia (WB),CHE,Europe and Central Asia (WB)
Egypt,No,United States,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Iran,No,South Korea,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",KOR,East Asia and Pacific (WB)
China,No,Japan,CHN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Germany,No,Switzerland,DEU,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Portugal,No,Finland,PRT,Europe and Central Asia (WB),FIN,Europe and Central Asia (WB)
Yemen,No,India,YEM,"Middle East, North Africa, Afghanistan and Pakistan (WB)",IND,South Asia (WB)
Netherlands,No,United States,NLD,Europe and Central Asia (WB),USA,North America (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Nigeria,No,Germany,NGA,Sub-Saharan Africa (WB),DEU,Europe and Central Asia (WB)
China,No,United States,CHN,East Asia and Pacific (WB),USA,North America (WB)
Rwanda,No,Turkey,RWA,Sub-Saharan Africa (WB),TUR,Europe and Central Asia (WB)
Iran,No,Sweden,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",SWE,Europe and Central Asia (WB)
Morocco,No,Canada,MAR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Mexico,No,Germany,MEX,Latin America and Caribbean (WB),DEU,Europe and Central Asia (WB)
South Africa,No,Switzerland,ZAF,Sub-Saharan Africa (WB),CHE,Europe and Central Asia (WB)
China,No,Singapore,CHN,East Asia and Pacific (WB),SGP,East Asia and Pacific (WB)
United States,No,United Kingdom,USA,North America (WB),GBR,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Greece,No,Switzerland,GRC,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Belgium,No,Netherlands,BEL,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
Germany,No,United States,DEU,Europe and Central Asia (WB),USA,North America (WB)
Canada,No,United States,CAN,North America (WB),USA,North America (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
United States,No,Canada,USA,North America (WB),CAN,North America (WB)
Sweden,No,Finland,SWE,Europe and Central Asia (WB),FIN,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
India,No,Belgium,IND,South Asia (WB),BEL,Europe and Central Asia (WB)
Ghana,No,United States,GHA,Sub-Saharan Africa (WB),USA,North America (WB)
Uganda,No,Kenya,UGA,Sub-Saharan Africa (WB),KEN,Sub-Saharan Africa (WB)
Philippines,No,Poland,PHL,East Asia and Pacific (WB),POL,Europe and Central Asia (WB)
South Africa,No,United States,ZAF,Sub-Saharan Africa (WB),USA,North America (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
France,No,Netherlands,FRA,Europe and Central Asia (WB),NLD,Europe and Central Asia (WB)
France,No,Australia,FRA,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Portugal,No,Germany,PRT,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Germany,No,Australia,DEU,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Nigeria,No,United Kingdom,NGA,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
India,No,China,IND,South Asia (WB),CHN,East Asia and Pacific (WB)
Sweden,No,Japan,SWE,Europe and Central Asia (WB),JPN,East Asia and Pacific (WB)
Poland,No,Spain,POL,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Ethiopia,No,Netherlands,ETH,Sub-Saharan Africa (WB),NLD,Europe and Central Asia (WB)
Syria,No,Hungary,SYR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",HUN,Europe and Central Asia (WB)
Romania,No,Spain,ROU,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Jordan,No,Italy,JOR,"Middle East, North Africa, Afghanistan and Pakistan (WB)",ITA,Europe and Central Asia (WB)
Indonesia,No,Japan,IDN,East Asia and Pacific (WB),JPN,East Asia and Pacific (WB)
Netherlands,No,Belgium,NLD,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Canada,No,United States,CAN,North America (WB),USA,North America (WB)
India,No,Netherlands,IND,South Asia (WB),NLD,Europe and Central Asia (WB)
